,rel_time(s),mean,std,max,min,ptp,skewness,kurtosis,signal_energy,fft_mean,fft_max,fft_freq_max,energy_band_0.1_1Hz,energy_band_1_3Hz,energy_band_3_5Hz,energy_band_5_10Hz,evid,label
0,0,-0.05412265412863838,13.102690319097862,52.86213271115052,-57.90155937203737,110.76369208318789,0.002035655177517216,2.8732904842139355,103010.05371592246,242.71084828847057,1864.8695686913327,1.0,4434244.659476182,12658633.56995988,4200954.0533736665,13143520.764004184,evid0005,0
1,30,0.09390050354352988,27.262402710868574,77.18758269900763,-83.342018366734,160.52960106574164,-0.06223637890867119,-0.04563895224643533,445948.4513244839,478.2331302569047,4938.821716022364,1.0,24722758.42001858,53021178.48357151,24457621.14549542,56195612.00756945,evid0005,0
2,60,-0.026062451054399957,27.403771151336183,90.20692345128401,-89.11316851116145,179.32009196244547,-0.1050174002451384,0.1332705073887963,450580.4115396962,468.41529300070425,4966.5086220695,1.0,25027765.164108474,57170508.02517913,18399634.673492752,60537208.837633565,evid0005,0
3,90,-0.024073631175805823,26.751344478428226,77.84118017272615,-95.55297629026936,173.3941564629955,0.008850834676416,-0.05350904197711914,429381.0065659502,463.5442376443743,4620.757914260818,1.0,21524612.905085605,53806208.05733252,18771639.100197565,56810139.23805398,evid0005,0
4,120,0.0017878550232669,26.49840728319446,93.61148283188788,-89.73968807195023,183.35117090383812,-0.0739174742367136,0.20148354832970572,421299.3550454873,462.21254168151285,4994.27791675275,1.0,25099301.288780496,56585917.950624384,19940977.762233898,50993237.60466707,evid0005,0
5,150,-0.055032812920758636,26.724382482687293,71.39990441608123,-92.81866778903046,164.21857220511168,-0.2246580306408346,-0.22282463610304237,428517.3886148769,468.7465253303849,4986.454492004643,1.0,25054623.329824954,54430639.177263044,21212842.673679367,54096297.15315224,evid0005,0
6,180,0.07735907307841652,28.927486261734863,82.61588744578887,-92.42181599232308,175.03770343811195,-0.04353507941997201,-0.11867709490530087,502083.267509428,495.2143513974132,5126.733981148887,1.0,26498955.896125857,61710856.823204756,26728720.169343397,63039538.95161763,evid0005,0
7,210,0.0050331934440202035,26.742997144262585,86.72178862018927,-79.02211432351577,165.74390294370505,0.04908266608899021,-0.2515958123409341,429112.7529546438,467.751429681269,5004.478449701895,1.0,25265759.632292047,56826916.832456686,19350272.910260174,54109384.63229736,evid0005,0
8,240,-0.0047073658429046365,25.58117816825332,70.9988586256608,-84.21681907142663,155.21567769708741,0.04880794391523622,-0.23125985886921274,392638.01918112807,436.79186465221215,4825.957300642076,1.0,23493667.83983597,49113692.01459093,17942057.180087212,51393248.12081734,evid0005,0
9,270,-0.03277052073661276,25.291745200413036,83.50861656829568,-62.91543720546084,146.42405377375653,0.152073584035444,-0.33113148856348706,383804.0695137871,425.2474375309563,4896.813843112786,1.0,24143797.99081265,49542077.353471965,16989303.042490564,49382263.663756914,evid0005,0
